LINE_OF_BUSINESS,DELIVERY_UNIT,PRACTICE_UNIT,month
Insurance,Digital and Analytics,Data Analytics,2022-10-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2022-11-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2022-12-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-01-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-02-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-03-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-04-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-05-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-06-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-07-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-08-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-09-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-10-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-11-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2023-12-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-01-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-02-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-03-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-04-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-05-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-06-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-07-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-08-01 00:00:00
Insurance,Digital and Analytics,Data Analytics,2024-09-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2022-10-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2022-11-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2022-12-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-01-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-02-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-03-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-04-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-05-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-06-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-07-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-08-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-09-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-10-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-11-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2023-12-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-01-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-02-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-03-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-04-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-05-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-06-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-07-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-08-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Migration,2024-09-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2022-10-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2022-11-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2022-12-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-01-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-02-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-03-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-04-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-05-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-06-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-07-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-08-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-09-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-10-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-11-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2023-12-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-01-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-02-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-03-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-04-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-05-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-06-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-07-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-08-01 00:00:00
Healthcare and Life Sciences,Cybersecurity,Security Solutions,2024-09-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2022-10-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2022-11-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2022-12-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-01-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-02-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-03-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-04-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-05-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-06-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-07-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-08-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-09-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-10-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-11-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2023-12-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-01-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-02-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-03-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-04-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-05-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-06-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-07-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-08-01 00:00:00
Media and Entertainment,Assurance Services,Quality Assurance,2024-09-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2022-10-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2022-11-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2022-12-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-01-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-02-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-03-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-04-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-05-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-06-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-07-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-08-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-09-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-10-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-11-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2023-12-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-01-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-02-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-03-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-04-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-05-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-06-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-07-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-08-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Infrastructure Services,2024-09-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2022-10-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2022-11-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2022-12-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-01-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-02-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-03-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-04-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-05-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-06-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-07-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-08-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-09-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-10-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-11-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2023-12-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-01-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-02-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-03-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-04-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-05-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-06-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-07-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-08-01 00:00:00
Banking and Financial Services,Digital and Analytics,Digital Transformation,2024-09-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2022-10-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2022-11-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2022-12-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-01-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-02-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-03-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-04-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-05-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-06-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-07-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-08-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-09-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-10-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-11-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2023-12-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-01-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-02-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-03-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-04-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-05-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-06-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-07-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-08-01 00:00:00
Retail and Consumer Goods,Digital and Analytics,Artificial Intelligence,2024-09-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2022-10-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2022-11-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2022-12-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-01-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-02-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-03-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-04-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-05-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-06-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-07-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-08-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-09-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-10-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-11-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2023-12-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-01-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-02-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-03-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-04-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-05-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-06-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-07-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-08-01 00:00:00
Media and Entertainment,Digital and Analytics,Data Analytics,2024-09-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2022-10-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2022-11-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2022-12-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-01-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-02-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-03-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-04-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-05-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-06-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-07-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-08-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-09-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-10-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-11-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2023-12-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-01-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-02-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-03-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-04-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-05-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-06-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-07-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-08-01 00:00:00
Healthcare and Life Sciences,Assurance Services,Testing Services,2024-09-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2022-10-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2022-11-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2022-12-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-01-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-02-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-03-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-04-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-05-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-06-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-07-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-08-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-09-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-10-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-11-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2023-12-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-01-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-02-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-03-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-04-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-05-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-06-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-07-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-08-01 00:00:00
Media and Entertainment,Assurance Services,Reliability Engineering,2024-09-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2022-10-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2022-11-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2022-12-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-01-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-02-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-03-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-04-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-05-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-06-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-07-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-08-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-09-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-10-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-11-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2023-12-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-01-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-02-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-03-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-04-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-05-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-06-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-07-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-08-01 00:00:00
Manufacturing,Cloud and Infrastructure Services,Cloud Management,2024-09-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2022-10-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2022-11-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2022-12-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-01-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-02-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-03-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-04-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-05-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-06-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-07-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-08-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-09-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-10-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-11-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2023-12-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-01-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-02-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-03-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-04-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-05-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-06-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-07-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-08-01 00:00:00
Travel Transportation and Hospitality (TTH),Cloud and Infrastructure Services,Cloud Management,2024-09-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2022-10-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2022-11-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2022-12-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-01-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-02-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-03-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-04-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-05-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-06-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-07-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-08-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-09-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-10-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-11-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2023-12-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-01-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-02-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-03-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-04-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-05-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-06-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-07-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-08-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Artificial Intelligence,2024-09-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2022-10-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2022-11-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2022-12-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-01-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-02-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-03-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-04-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-05-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-06-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-07-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-08-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-09-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-10-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-11-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2023-12-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2024-01-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2024-02-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2024-03-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2024-04-01 00:00:00
Healthcare and Life Sciences,Digital and Analytics,Data Analytics,2024-05-01 00:00:00
